710,"Supply chain strategy in the fashion industry: Developing a portfolio model depending on product, retail channel and brand",A. Brun;C. Castelli,International Journal of Production Economics,"The paper presents the results of a research project focused on supply chain (SC) strategy in the fashion/apparel industry ongoing at Politecnico di Milano, aiming at assessing the relevance of Supply Chain Management (SCM) approach in a context, i.e. fashion, where operations and manufacturing seem to be considered as ancillary to marketing and communications activities. Relying on theoretical developments and empirical case studies, the authors propose a model, the “segmentation tree” model, for adopting a focused approach to SCM resulting in a SC strategy segmentation based on three drivers, namely product, brand and retail channel."
711,Surface tension gradient driven spreading of trisiloxane surfactant solution on hydrophobic solid,A. Chengara;A. Nikolov;D. Wasan,Colloids and Surfaces A: Physicochemical and Engineering Aspects,"The spreading of aqueous solutions of trisiloxane surfactant on hydrophobic surfaces has been studied extensively, but the underlying mechanisms are still being debated. Recently, we advanced the view that the initial high rate of spreading is driven by the surface tension gradient that develops spontaneously over the air–solution surface due to surfactant depletion caused by stretching of this surface. In this short paper, we substantiate this view with additional experiments. To understand the role of capillary forces, spreading experiments were conducted so that during the spreading of surfactant solution over the solid surface, the fluid displaced from the solid was an organic liquid instead of air as is the usual case. Through this scheme, the balance of forces at the three phase contact line was altered, while retaining the same surface tension gradient over the air–solution interface. Such experiments were also conducted on solid surfaces of different wettability, to examine the role of the solid–liquid interfacial tension on spreading rate. Our finding is that the initial rate of spreading is not influenced by the forces at the contact line or at the solid–solution interface, leading to the conclusion that the major driving force for spreading of trisiloxane surfactant solution on hydrophobic surfaces is the surface tension gradient over the air–solution surface. The occurrence of a maximum in spreading area with surfactant concentration is shown to be consistent with this mechanism. We also present a comparison between a simplified theoretical model and experiments to support the conclusion of surface tension gradient driven spreading.The spreading of aqueous solutions of trisiloxane surfactant on hydrophobic surfaces has been studied extensively, but the underlying mechanisms are still being debated. Recently, we advanced the view that the initial high rate of spreading is driven by the surface tension gradient that develops spontaneously over the air–solution surface due to surfactant depletion caused by stretching of this surface. In this short paper, we substantiate this view with additional experiments. To understand the role of capillary forces, spreading experiments were conducted so that during the spreading of surfactant solution over the solid surface, the fluid displaced from the solid was an organic liquid instead of air as is the usual case. Through this scheme, the balance of forces at the three phase contact line was altered, while retaining the same surface tension gradient over the air–solution interface. Such experiments were also conducted on solid surfaces of different wettability, to examine the role of the solid–liquid interfacial tension on spreading rate. Our finding is that the initial rate of spreading is not influenced by the forces at the contact line or at the solid–solution interface, leading to the conclusion that the major driving force for spreading of trisiloxane surfactant solution on hydrophobic surfaces is the surface tension gradient over the air–solution surface. The occurrence of a maximum in spreading area with surfactant concentration is shown to be consistent with this mechanism. We also present a comparison between a simplified theoretical model and experiments to support the conclusion of surface tension gradient driven spreading."
712,Surveillance of risk profiles among new and repeat blood donors with transfusion‐transmissible infections from 1995 through 2003 in the Netherlands,A. Bij;R. Coutinho;C. Poel,Transfusion,"To evaluate the effectiveness of blood donor selection, this study reports risk profiles of donors with transfusion‐transmissible infections as obtained by ongoing surveillance, 1995 through 2003, in the Netherlands. STUDY DESIGN AND METHODS: A surveillance program was installed to monitor risk profiles among new and repeat donors infected with human immunodeficiency virus (HIV), hepatitis C virus (HCV), hepatitis B virus (HBV), or human T‐lymphotropic virus (HTLV), or positive for the presence of syphilis antibodies. At posttest counseling, a physician interviewed donors to clarify possible sources of infection. RESULTS: A total of 167 repeat donors and 404 new donors were interviewed: 33 with HIV, 123 with HCV, 279 with HBV, 21 with HTLV, and 112 with syphilis antibodies. Most HBV, HCV, and HTLV infections were among new donors (80, 85, and 67%), whereas most HIV infections were among repeat donors (79%). Nearly 25 percent of the donors did not report factors at screening that would have deferred them from donating blood. At posttest interviews, new donors with HCV often reported injecting drug use (19%). Repeat donors with HIV often reported male‐to‐male sex (8/26, 31%). CONCLUSION: A significant level of deferrable behavioral risks was found among donors with confirmed transfusion‐transmissible infections that persist despite current donor selection. Reporting such behavior at initial donor selection would have eliminated a substantial part of the infections found. This study argues against relaxing the existing donor deferral of persons practicing male‐to‐male sex, given their significant proportion of HIV infections among repeat donors. Systematic surveillance of risk factors among infected blood donors provides ongoing information about the effectivity of donor selection and is recommended to evaluate and optimize blood policies."
713,Sustained beneficial effects on blood pressure during long time retrospective follow-up after endovascular treatment of renal artery occlusion,A. Alhadad;I. Mattiasson;K. Ivancev;A. Gottsäter;B. Lindblad,Journal of Human Hypertension,"We retrospectively evaluated short- and long-term effects of percutaneous transluminal renal angioplasty (PTRA) with or without stent placement of renal artery occlusion (RAO) upon blood pressure (BP), serum (s)-creatinine, and the need for antihypertensive treatment in 34 RAO patients who underwent PTRA during 1996–2002. In 24/34 (71%) treatment was considered technically successful, 22/24 (92%) were treated with PTRA+stent, two with only PTRA. Patients were followed for mean 2.6 (range 0–8) years, during which 14/34 (41%) patients died. In all 34 patients, systolic and diastolic BP (SBP and DBP) before treatment were 184±30/95±15 mmHg and had decreased at discharge (to 157±21/80±10 mmHg; P<0.001 for both SBP and DBP), and remained lower after 1 year (154±20/83±7 mmHg;P<0.001 for SBP and P<0.01 for DBP), and at last follow-up (148±20/80±12 mmHg; P<0.001 for both SBP and DBP). No changes occurred in s-creatinine or the number of antihypertensive drugs. Similar results were seen in the subgroup of 24/34 (71%) patients in whom treatment was technically successful. Among the 24 patients undergoing technically successful PTRA, absence of nephrosclerosis (P=0.035) and a shorter duration of hypertension (P=0.020) predicted favourable clinical outcome. No adverse effects upon s-creatinine or the need for antihypertensive medication were seen in patients in whom treatment was considered a technical failure. Seven of these patients were treated with PTRA of another renal artery than the occluded, or with embolisation. In conclusion, RAO can be treated with endovascular techniques. Technically successful results with decreasing blood pressure levels were obtained in 71% of patients.We retrospectively evaluated short- and long-term effects of percutaneous transluminal renal angioplasty (PTRA) with or without stent placement of renal artery occlusion (RAO) upon blood pressure (BP), serum (s)-creatinine, and the need for antihypertensive treatment in 34 RAO patients who underwent PTRA during 1996–2002. In 24/34 (71%) treatment was considered technically successful, 22/24 (92%) were treated with PTRA+stent, two with only PTRA. Patients were followed for mean 2.6 (range 0–8) years, during which 14/34 (41%) patients died. In all 34 patients, systolic and diastolic BP (SBP and DBP) before treatment were 184±30/95±15 mmHg and had decreased at discharge (to 157±21/80±10 mmHg; P&lt;0.001 for both SBP and DBP), and remained lower after 1 year (154±20/83±7 mmHg;P&lt;0.001 for SBP and P&lt;0.01 for DBP), and at last follow-up (148±20/80±12 mmHg; P&lt;0.001 for both SBP and DBP). No changes occurred in s-creatinine or the number of antihypertensive drugs. Similar results were seen in the subgroup of 24/34 (71%) patients in whom treatment was technically successful. Among the 24 patients undergoing technically successful PTRA, absence of nephrosclerosis (P=0.035) and a shorter duration of hypertension (P=0.020) predicted favourable clinical outcome. No adverse effects upon s-creatinine or the need for antihypertensive medication were seen in patients in whom treatment was considered a technical failure. Seven of these patients were treated with PTRA of another renal artery than the occluded, or with embolisation. In conclusion, RAO can be treated with endovascular techniques. Technically successful results with decreasing blood pressure levels were obtained in 71% of patients."
714,Swarm coordination of mini-UAVs for target search using imperfect sensors,A. Alfeo;M. Cimino;N. Francesco;A. Lazzeri;M. Lega;G. Vaglini,ArXiv Computer Science,"Unmanned Aerial Vehicles (UAVs) have a great potential to support searchtasks in unstructured environments. Small, lightweight, low speed and agileUAVs, such as multi-rotors platforms can incorporate many kinds of sensors thatare suitable for detecting object of interests in cluttered outdoor areas.However, due to their limited endurance, moderate computing power, andimperfect sensing, mini-UAVs should be into groups using swarm coordinationalgorithms to perform tasks in a scalable, reliable and robust manner. In thispaper a biologically-inspired mechanisms is adopted to coordinate dronesperforming target search with imperfect sensors. In essence, coordination canbe achieved by combining stigmergic and flocking behaviors. Stigmergy occurswhen a drone releases digital pheromone upon sensing of a potential target.Such pheromones can be aggregated and diffused between flocking drones,creating a spatiotemporal attractive potential field. Flocking occurs, as anemergent effect of alignment, separation and cohesion, where drones selforganise with similar heading and dynamic arrangement as a group. The emergentcoordination of drones relies on the alignment of stigmergy and flockingstrategies. This paper reports on the design of the novel swarming algorithm,reviewing different strategies and measuring their performance on a number ofsynthetic and real-world scenarios."
715,Synchronization of solutions of Duffing-type equations with random perturbations,A. Ambrazevičius;F. Ivanauskas;V. Mackevičius,Nonlinear Analysis,"We consider a family of particles with different initial states and/or velocities whose dynamics is described by a Duffing-type equation ẍ+αẋ+P(x)=0 where the velocity v=ẋ is randomly perturbed at random times. We present sufficient conditions ensuring almost identical sample paths of the particles after a long time: the times between perturbations are assumed to be unbounded and uniformly positive, and the values of jumps are assumed to be random variables with positive density on a sufficiently large interval [0,H]. The paper generalizes the results of Ambrazevičius et al. (2010) [11] for P(x)=x3−x to the case of arbitrary higher-order odd polynomials P.We consider a family of particles with different initial states and/or velocities whose dynamics is described by a Duffing-type equation ẍ+αẋ+P(x)=0 where the velocity v=ẋ is randomly perturbed at random times. We present sufficient conditions ensuring almost identical sample paths of the particles after a long time: the times between perturbations are assumed to be unbounded and uniformly positive, and the values of jumps are assumed to be random variables with positive density on a sufficiently large interval [0,H]. The paper generalizes the results of Ambrazevičius et al. (2010) [11] for P(x)=x3−x to the case of arbitrary higher-order odd polynomials P."
716,Synchronous and Stochastic Patterns of Gene Activation in the Drosophila Embryo,A. Boettiger;M. Levine,Science,"Drosophila embryogenesis is characterized by rapid transitions in gene activity, whereby crudely distributed gradients of regulatory proteins give way to precise on/off patterns of gene expression. To explore the underlying mechanisms, a partially automated, quantitative in situ hybridization method was used to visualize expression profiles of 14 developmental control genes in hundreds of embryos. These studies revealed two distinct patterns of gene activation: synchronous and stochastic. Synchronous genes display essentially uniform expression of nascent transcripts in all cells of an embryonic tissue, whereas stochastic genes display erratic patterns of de novo activation. RNA polymerase II is “pre-loaded” (stalled) in the promoter regions of synchronous genes, but not stochastic genes. Transcriptional synchrony might ensure the orderly deployment of the complex gene regulatory networks that control embryogenesis."
717,Synergistic effects of Ir–Au/TiO2 catalysts in the total oxidation of propene: influence of the activation conditions,A. Aguilar-Tapia;R. Zanella;C. Calers;C. Louis;L. Delannoy,Physical Chemistry Chemical Physics,"Iridium was added to the Au/TiO2 system to try to enhance its catalytic activity in the reaction of propene oxidation, performed under conditions close to those used in the studies of decomposition of volatile organic compounds (1200 ppm propene and 9 vol% O2 in He). Titania supported Ir–Au (Ir/Au = 1) was prepared by sequential deposition–precipitation with urea (DPU) of Ir then Au. The effect of the activation conditions (hydrogen or air at 400 °C) was investigated. The study of the activation conditions of Ir–Au/TiO2 showed that activation under hydrogen at 400 °C generated a catalyst more active than the monometallic ones, while Ir–Au/TiO2 activated in air remained as poorly active as Au/TiO2. TEM characterization showed the formation of metallic particles of similar size (2–3 nm) in both monometallic Au/TiO2 and bimetallic Ir–Au/TiO2. Characterization especially by DRIFTS using CO as a probe molecule suggests the presence of Ir–Au interaction, IrO2–Au0 interaction when the sample is calcined and Ir0–Au0 bimetallic particles when it is reduced. XPS and TPR characterization techniques showed that gold hinders to some extent the reoxidation of iridium in the reduced bimetallic Ir–Au/TiO2 catalyst. The enhanced catalytic activity of the reduced bimetallic Ir–Au/TiO2 catalyst is attributed to a surface Ir0–Au0 synergism."
718,Synextensional mid-Cretaceous stratigraphic architecture of the eastern Basque–Cantabrian basin margin (western Pyrenees),A. Bodego;E. Iriarte;L. Agirrezabala;J. García-Mondéjar;M. López-Horgue,Cretaceous Research,"The tectonosedimentary study of the southern and north-western margins of the Bortziri–Cinco Villas Palaeozoic Massif, which constitute the eastern margin of the Basque–Cantabrian basin, has yielded a detailed synrift stratigraphic architecture and led to the proposal of formal lithostratigraphic units, as well as to an interpretation of the evolution of different marine depositional systems during Aptian to Cenomanian times. During this time interval, carbonate platform to deeper siliciclastic depositional systems were deposited transgressively onto the margin of the Bortziri–Cinco Villas Palaeozoic Massif.The onset and evolution of sedimentary depositional systems were controlled by strong synsedimentary tectonic activity. The analysis and interpretation of the sedimentary systems has permitted the characterization of 5 tectonosedimentary phases separated by 5 main discontinuities (D1 to D5): Phase I, early Aptian–early Albian; Phase II, middle Albian; Phase III, late Albian–latest Albian; Phase IV, latest Albian–early Cenomanian; Phase V, early Cenomanian–Campanian.The observed tectonic and sedimentary features indicate the presence of regional transtensional strain during all the tectonosedimentary phases, except for Phase IV when compressive features are recognized related to the main basement faults. All of the above-mentioned tectonosedimentary phases correlate well with major Pyrenean tectonosedimentary events related to the opening of the Bay of Biscay and the Central Atlantic during the Cretaceous.The synrift stratigraphy of the Basque–Cantabrian Basin margin has been studied.The Aptian–Cenomanian sedimentary evolution of the basin margin has been established.Thickness and facies changes indicate synsedimentary tectonic control.Five tectosedimentary phases have been identified during the Aptian–Cenomanian.Lithostratigraphic and tectosedimentary phases correlate with the Pyrenean region.The tectonosedimentary study of the southern and north-western margins of the Bortziri–Cinco Villas Palaeozoic Massif, which constitute the eastern margin of the Basque–Cantabrian basin, has yielded a detailed synrift stratigraphic architecture and led to the proposal of formal lithostratigraphic units, as well as to an interpretation of the evolution of different marine depositional systems during Aptian to Cenomanian times. During this time interval, carbonate platform to deeper siliciclastic depositional systems were deposited transgressively onto the margin of the Bortziri–Cinco Villas Palaeozoic Massif.The onset and evolution of sedimentary depositional systems were controlled by strong synsedimentary tectonic activity. The analysis and interpretation of the sedimentary systems has permitted the characterization of 5 tectonosedimentary phases separated by 5 main discontinuities (D1 to D5): Phase I, early Aptian–early Albian; Phase II, middle Albian; Phase III, late Albian–latest Albian; Phase IV, latest Albian–early Cenomanian; Phase V, early Cenomanian–Campanian.The observed tectonic and sedimentary features indicate the presence of regional transtensional strain during all the tectonosedimentary phases, except for Phase IV when compressive features are recognized related to the main basement faults. All of the above-mentioned tectonosedimentary phases correlate well with major Pyrenean tectonosedimentary events related to the opening of the Bay of Biscay and the Central Atlantic during the Cretaceous."
719,"Synthesis and application of N-doped TiO2/CdS/poly(1,8-diaminocarbazole) composite for photocatalytic degradation of 4-chlorophenol under visible light",A. Aragon;W. Kierulf-Vieira;T. Łęcki;K. Zarębska;M. Skompska,Electrochimica Acta,"Visible-driven photocatalyst was prepared by deposition of CdS by SILAR (successive ion layer adsorption and reaction) method on mesoporous N-doped TiO2 supported on F-doped tin oxide (FTO) glass substrate. The changes of morphology and optical properties of the samples with increasing amount of CdS were monitored. The edges of conduction bands of both semiconductors were determined from Mott-Schottky plots. The system with CdS deposited in 6 SILAR cycles has been tested in photocatalytic decomposition of 4-chlorophenol. The mechanism of photocatalytic reaction was discussed in terms of the role of hydroxyl radicals and superoxide radicals in the process. A thin film of conducting polymer, poly(1,8-diaminocarbazole) deposited on the surface of TiO2/CdS suppressed photocorrosion of CdS during photocatalytic process. The amount of the polymer was optimized taking into account concentration of Cd2+ ions released to the solution and activity of the system in 4-CP degradation."
720,Synthesis and characterisation of palladium compounds with new polyetherpyrazole ligands,A. Boixassa;J. Pons;X. Solans;M. Font-Bardia;J. Ros,Inorganica Chimica Acta,"The present report is on the synthesis of new 3,5-dimethylpyrazolic derived ligands that are N1-substituted by polyether chains: 1-(2-methoxyethoxymethyl)-3,5-dimethylpyrazole (L1), 1-[2-(2-methoxyethoxymethoxy)ethyl]-3,5-dimethylpyrazole (L2) and 1-[2-[2-(2-methoxyethoxy)ethoxy]ethyl]-3,5-dimethylpyrazole (L3). These ligands form complexes with the formula [PdCl2L2] when reacting with [PdCl2(CH3CN)2] in the ratio 1M:2L. Two crystalline structures have been resolved with ligands L1 and L3, where the Pd(II) presents a square planar geometry with the ligands co-ordinated in a trans disposition. NMR studies prove the existence of two conformational diastereoisomers for each complex in solution, as a consequence of the slow rotation around the Pd–N bond: syn and anti. The reaction of ligands L1, L2 and L3 with [PdCl2(CH3CN)2] in presence of AgBF4 yields the compounds [PdClL3]BF4, characterised by elemental analysis, conductivity measurements, 1H NMR, 13C{1H} NMR, infrared spectra, and FIA ES(+)/MS.The present report is on the synthesis of new 3,5-dimethylpyrazolic derived ligands that are N1-substituted by polyether chains: 1-(2-methoxyethoxymethyl)-3,5-dimethylpyrazole (L1), 1-[2-(2-methoxyethoxymethoxy)ethyl]-3,5-dimethylpyrazole (L2) and 1-[2-[2-(2-methoxyethoxy)ethoxy]ethyl]-3,5-dimethylpyrazole (L3). These ligands form complexes with the formula [PdCl2L2] when reacting with [PdCl2(CH3CN)2] in the ratio 1M:2L. Two crystalline structures have been resolved with ligands L1 and L3, where the Pd(II) presents a square planar geometry with the ligands co-ordinated in a trans disposition. NMR studies prove the existence of two conformational diastereoisomers for each complex in solution, as a consequence of the slow rotation around the Pd–N bond: syn and anti. The reaction of ligands L1, L2 and L3 with [PdCl2(CH3CN)2] in presence of AgBF4 yields the compounds [PdClL3]BF4, characterised by elemental analysis, conductivity measurements, 1H NMR, 13C{1H} NMR, infrared spectra, and FIA ES(+)/MS.Three new N1-polyetherpyrazolic ligands (L) are synthesised and form trans-[PdCl2L2] complexes when reacting with [PdCl2(CH3CN)2]. Two crystalline structures have been resolved. NMR studies prove the existence of two conformational diastereoisomers for each complex in solution, as a consequence of the slow rotation around the Pd–N bond: syn and anti. The reaction of these ligands with [PdCl2(CH3CN)2] in presence of AgBF4 yields to [PdClL3]BF4 compounds."
721,"Synthesis and characterization of new complexes of nickel (II), palladium (II) and platinum(II) with derived sulfonamide ligand: Structure, DFT study, antibacterial and cytotoxicity activities",A. Bouchoucha;S. Zaater;S. Bouacida;H. Merazig;S. Djabbar,Journal of Molecular Structure,"The synthesis, characterization and biological study of new nickel (II), palladium (II), and platinum (II) complexes with sulfamethoxazole ligand used in pharmaceutical field, were reported. [MLCl2].nH2O is the general formula obtained for Pd(II) and Pt(II) complexes. These complexes have been prepared and characterized by elemental analysis, FTIR, 1HNMR spectral, magnetic measurements, UV–Visible spectra, and conductivity. The DFT calculation was applied to optimize the geometric structure of the Pd(II) and Pt(II) complexes. A new single-crystal X-ray structure of the Ni(II) complex has been determined. It crystallized in monoclinic system with P 21/c space group and Z = 8.The invitro antibacterial activity of ligand and complexes against Escherichia coli, P. aeruginosa, Klebsiella pneumoniae, S. aureus, Bacillus subtilis species has been carried out and compared using agar-diffusion method. The Pd(II) and Pt(II) complexes showed a remarkable inhibition against bacteria tested.The invitro cytotoxicity assay of the complexes against three cell lines chronic myelogenous leukaemia (K562), human colon adenocarcinoma (HT-29) and breast cancer (MCF-7) was also reported.New sulfamethoxazole complexes, were synthesized.The structure of nickel complex was detrmined.DFT study was applied.Biological activity was evaluated.The synthesis, characterization and biological study of new nickel (II), palladium (II), and platinum (II) complexes with sulfamethoxazole ligand used in pharmaceutical field, were reported. [MLCl2].nH2O is the general formula obtained for Pd(II) and Pt(II) complexes. These complexes have been prepared and characterized by elemental analysis, FTIR, 1HNMR spectral, magnetic measurements, UV–Visible spectra, and conductivity. The DFT calculation was applied to optimize the geometric structure of the Pd(II) and Pt(II) complexes. A new single-crystal X-ray structure of the Ni(II) complex has been determined. It crystallized in monoclinic system with P 21/c space group and Z = 8.The invitro antibacterial activity of ligand and complexes against Escherichia coli, P. aeruginosa, Klebsiella pneumoniae, S. aureus, Bacillus subtilis species has been carried out and compared using agar-diffusion method. The Pd(II) and Pt(II) complexes showed a remarkable inhibition against bacteria tested.The invitro cytotoxicity assay of the complexes against three cell lines chronic myelogenous leukaemia (K562), human colon adenocarcinoma (HT-29) and breast cancer (MCF-7) was also reported.Download high-res image (322KB)Download full-size image"
722,"Synthesis and characterization, antimicrobial activity, DNA binding and DNA cleavage studies of new 5-chloro-2-[4-phenylthiazol-2-yl-iminomethyl]phenol metal complexes",A. Alaghaz;M. Zayed;S. Alharbi,Journal of Molecular Structure,"New Cr(III), Mn(II), Fe(III), Co(II), Ni(II), Cu(II) and Cd(II) complexes derived from bidentate Schiff base ligand, 5-chloro-2-[4-phenylthiazol-2-yl-iminomethyl]phenol (HL) have been synthesized. The molar ratio for all synthesized complexes is M: L = 1:2 which was established from the results of chemical analysis. The complexes have been characterized by elemental analysis, spectral (IR, UV–Vis, (1H and 13C) NMR, mass, ESR, XRD, CV, fluorescence, and magnetic as well as thermal analysis measurements. The IR spectra of the prepared complexes were suggested that the Schiff base ligand behaves as a bi-dentate ligand through the azomethine nitrogen atom and phenolic oxygen atom. The crystal field splitting, Racah repulsion and nepheloauxetic parameters and determined from the electronic spectra of the complexes. The presence of co-ordinated water molecules were confirmed by thermal studies. The spectroscopic studies suggest the octahedral geometry. From the modeling studies, the bond length, bond angle, core–core interaction, heat of formation, electronic energy, binding energy, HOMO, LUMO and dipole moment had been calculated to confirm the geometry of the ligand and their investigated complexes. Also, the thermal behavior and the kinetic parameters of degradation were determined using Coats–Redfern, Horowitz–Metzger and Piloyan–Novikova methods. Moreover, the in vitro antibacterial studies of all compounds screened against pathogenic bacteria (two Gram +ve and three Gram −ve) and three antifungal to assess their inhibiting potential. The assay indicated that the inhibition potential is metal ion dependent. The interaction of the complexes with calf thymus DNA (CT-DNA) has been investigated by UV absorption method, and the mode of CT-DNA binding to the complexes has been explored. Furthermore, the DNA cleavage activity by the complexes was performed.Novel Schiff’s base complexes were synthesized.The complexes are characterized by different spectroscopic techniques.Structure and spectra for the ligand and its metal (II/III) complexes were computed at the B3LYP/6-31G(d).Ligand and its metal (II) complexes showed variable antimicrobial activities.The complexes display good DNA binding and DNA cleavage activity.New Cr(III), Mn(II), Fe(III), Co(II), Ni(II), Cu(II) and Cd(II) complexes derived from bidentate Schiff base ligand, 5-chloro-2-[4-phenylthiazol-2-yl-iminomethyl]phenol (HL) have been synthesized. The molar ratio for all synthesized complexes is M: L = 1:2 which was established from the results of chemical analysis. The complexes have been characterized by elemental analysis, spectral (IR, UV–Vis, (1H and 13C) NMR, mass, ESR, XRD, CV, fluorescence, and magnetic as well as thermal analysis measurements. The IR spectra of the prepared complexes were suggested that the Schiff base ligand behaves as a bi-dentate ligand through the azomethine nitrogen atom and phenolic oxygen atom. The crystal field splitting, Racah repulsion and nepheloauxetic parameters and determined from the electronic spectra of the complexes. The presence of co-ordinated water molecules were confirmed by thermal studies. The spectroscopic studies suggest the octahedral geometry. From the modeling studies, the bond length, bond angle, core–core interaction, heat of formation, electronic energy, binding energy, HOMO, LUMO and dipole moment had been calculated to confirm the geometry of the ligand and their investigated complexes. Also, the thermal behavior and the kinetic parameters of degradation were determined using Coats–Redfern, Horowitz–Metzger and Piloyan–Novikova methods. Moreover, the in vitro antibacterial studies of all compounds screened against pathogenic bacteria (two Gram +ve and three Gram −ve) and three antifungal to assess their inhibiting potential. The assay indicated that the inhibition potential is metal ion dependent. The interaction of the complexes with calf thymus DNA (CT-DNA) has been investigated by UV absorption method, and the mode of CT-DNA binding to the complexes has been explored. Furthermore, the DNA cleavage activity by the complexes was performed."
723,"Synthesis of 4-aryl-1,2,3-triazolyl appended natural coumarin-related compounds with antiproliferative and radical scavenging activities and intracellular ROS production modification",A. Bistrović;N. Stipaničev;T. Opačak-Bernardi;M. Jukić;S. Martinez;L. Glavaš-Obrovac;S. Raić-Malić,New Journal of Chemistry,"Novel natural coumarin-based umbelliferone, herniarin and esculetin series linked to hydroxy- and methoxy-substituted and non-substituted phenyl rings through a 1,2,3-triazole spacer were provided by environmentally friendly click chemistry under microwave irradiation. The antioxidative activity of the compounds was evaluated by DPPH-scavenging activity and cyclic voltammetry assays. While adjacent 6- and 7-hydroxyl groups in coumarins made a major contribution to antioxidative power and a decrease of ROS production relative to esculetin, a p-methoxy-substituted phenyl moiety had an impact on pronounced and selective antiproliferative activity against chronic leukemia cells in blast crisis (K562) with no significant change in the ROS generation. 6,7-Dihydroxycoumarin can be considered as a promising scaffold with a major contribution to antioxidant potential and, thereby, further structural modification of 6,7-dihydroxycoumarin linked to aryl-1,2,3-triazole may provide a hybrid molecule that may be of interest for potential application to prevent diseases related to the oxidative-stress imbalance."
724,Synthesis of Al–Si nano-template substrates for surface-enhanced Raman scattering application,A. Bendavid;P. Martin;C. Comte;L. Randeniya;D. Weller,Thin Solid Films,"Al–Si nano-porous templates were prepared using filtered cathodic vacuum arc deposition and investigated as surface-enhanced Raman scattering (SERS) active substrates. Al–Si thin films were deposited onto silicon substrates followed by immersion in ammonia solution to remove the aluminium columns to form a nano-porous structure. The pore size and density were controlled mainly by the deposition bias voltage applied to the substrate. Gold particles were deposited onto the nano-porous Al–Si templates by displacement deposition in a solution containing HAuCl4 (0.1 mM). The size and dispersion of the deposited Au particles were controlled by the concentration of Au ions, the immersion time and morphology of the Al–Si template. The SERS-activity was measured with Cresyl Violet (C25N3H30Cl) dye as the target molecule, and the enhancement was influenced by the morphology of the nano-porous Al–Si templates. As the pore size decreased a higher density of nucleation sites for the growth of Au nanoparticles was formed resulting in a shorter inter-particle spacing of Au particles, and an enhancement of the Raman signal."
725,Synthesis of dendrimers with phosphine end groups at each generation,A. Balueva;S. Merino;A. Caminade;J. Majoral,Journal of Organometallic Chemistry,The synthesis of new phenoxydiphenylphosphino derivatives allows the formation of dendrimers having phosphine end groups at each generation. The dendrimers are grown up to the fourth generation (32 phosphine terminal groups) using Staudinger reactions with azides and deprotection of borane–phosphine complexes by amines.The synthesis of new phenoxydiphenylphosphino derivatives allows the formation of dendrimers having phosphine end groups at each generation. The dendrimers are grown up to the fourth generation (32 phosphine terminal groups) using Staudinger reactions with azides and deprotection of borane–phosphine complexes by amines.New phenoxydiphenylphosphino derivatives are used to synthesize dendrimers having phosphine end groups via Staudinger reactions and deprotection of phosphine–borane complexes. The largest dendrimer synthesized is the fourth generation having 32 phosphine end groups. Attempted synthesis of hyperbranched polymers using also phenoxydiphenylphosphino derivatives is reported.
726,"Synthesis, anti-bacterial and anti-protozoal activities of amidinobenzimidazole derivatives and their interactions with DNA and RNA",A. Bistrović;L. Krstulović;I. Stolić;D. Drenjančević;J. Talapko;M. Taylor;J. Kelly;M. Bajić;S. Raić-Malić,Journal of Enzyme Inhibition and Medicinal Chemistry,"Amidinobenzimidazole derivatives connected to 1-aryl-substituted 1,2,3-triazole through phenoxymethylene linkers 7a–7e, 8a–8e, and 9a–9e were designed and synthesised with the aim of evaluating their anti-bacterial and anti-trypanosomal activities and DNA/RNA binding affinity. Results from anti-bacterial evaluations of antibiotic-resistant pathogenic bacteria revealed that both o-chlorophenyl-1,2,3-triazole and N-isopropylamidine moieties in 8c led to strong inhibitory activity against resistant Gram-positive bacteria, particularly the MRSA strain. Furthermore, the non-substituted amidine and phenyl ring in 7a induced a marked anti-bacterial effect, with potency against ESBL-producing Gram-negative E. coli better than those of the antibiotics ceftazidime and ciprofloxacin. UV–Vis and CD spectroscopy, as well as thermal denaturation assays, indicated that compounds 7a and 8c showed also binding affinities towards ctDNA. Anti-trypanosomal evaluations showed that the p-methoxyphenyl-1,2,3-triazole moiety in 7b and 9b enhanced inhibitory activity against T. brucei, with 8b being more potent than nifurtimox, and having minimal toxicity towards mammalian cells.Graphical Abstract"
